time_key,col,auc,n
201601,te_employmentLength_cat,0.5007958532049528,8316
201602,te_employmentLength_cat,0.4923923938009785,10254
201603,te_employmentLength_cat,0.4872374928613805,14575
201604,te_employmentLength_cat,0.484652064702194,7093
201605,te_employmentLength_cat,0.4814362081998327,5261
201606,te_employmentLength_cat,0.4886311568354314,6098
201607,te_employmentLength_cat,0.47986143448329927,6453
201608,te_employmentLength_cat,0.47906588497262204,6697
201609,te_employmentLength_cat,0.47541772596032694,5029
201610,te_employmentLength_cat,0.5256815905878636,5582
201611,te_employmentLength_cat,0.5189096904225803,5713
201612,te_employmentLength_cat,0.5197321424674982,5890
201701,te_employmentLength_cat,0.5297394341910253,4876
201702,te_employmentLength_cat,0.5224521532139661,4060
201703,te_employmentLength_cat,0.5063159002303739,4988
201704,te_employmentLength_cat,0.4956566580111912,3881
201705,te_employmentLength_cat,0.5432413477065215,4871
201706,te_employmentLength_cat,0.5273840805162844,4553
201707,te_employmentLength_cat,0.521659688805517,4366
201708,te_employmentLength_cat,0.5305070132670567,4610
201709,te_employmentLength_cat,0.5251020160650177,3963
201710,te_employmentLength_cat,0.5331237193071763,3576
201711,te_employmentLength_cat,0.5146105369250251,3636
201712,te_employmentLength_cat,0.5348289370036831,2909
201801,te_employmentLength_cat,0.5061812465294974,2629
201802,te_employmentLength_cat,0.5291742839731871,2057
201803,te_employmentLength_cat,0.5255551010868295,2118
201804,te_employmentLength_cat,0.5394477911646587,2050
201805,te_employmentLength_cat,0.5397962996591608,1979
201806,te_employmentLength_cat,0.512849216904888,1456
201807,te_employmentLength_cat,0.5564030087219248,1282
201808,te_employmentLength_cat,0.5703761938038667,1044
201809,te_employmentLength_cat,0.5920784376844251,711
201810,te_employmentLength_cat,0.46469369821742407,597
201811,te_employmentLength_cat,0.5306553911205073,482
201812,te_employmentLength_cat,0.59002849002849,356
201601,te_fico_dti,0.5094650330077302,8316
201602,te_fico_dti,0.5109926532047894,10254
201603,te_fico_dti,0.497066886785653,14575
201604,te_fico_dti,0.5069272715744088,7093
201605,te_fico_dti,0.5099108832137357,5261
201606,te_fico_dti,0.505063761762093,6098
201607,te_fico_dti,0.4917533373043507,6453
201608,te_fico_dti,0.5071657626428837,6697
201609,te_fico_dti,0.49095584433505246,5029
201610,te_fico_dti,0.4976810447331978,5582
201611,te_fico_dti,0.4956314249331681,5713
201612,te_fico_dti,0.4994189833970104,5890
201701,te_fico_dti,0.4912237765995383,4876
201702,te_fico_dti,0.500359839106223,4060
201703,te_fico_dti,0.4947666356547935,4988
201704,te_fico_dti,0.5060307939874922,3881
201705,te_fico_dti,0.4911658008889588,4871
201706,te_fico_dti,0.4965033396203096,4553
201707,te_fico_dti,0.4708835716680713,4366
201708,te_fico_dti,0.4773269084715879,4610
201709,te_fico_dti,0.47644364059547817,3963
201710,te_fico_dti,0.4921210301980682,3576
